rho_s,r_s,MBH,ML,chi2,reward,status,proposal_id,refine_passes,chi2_losvd,chi2_light,chi2_total,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,weight_mode,weight_solver_mode,losvd_score_mode,alphat,halo_q_axis_ratio,karl_halo_params_active
1.0,1800.0,900000.0,1.0,,,todo,,,,,,,,,,,,,,,,,,,
3.196998153410224,5387.952348815124,509553.035526467,1.4844152572989708,1228.9434610184446,-1228.4434610184446,pass_full,1.0,0.0,1228.9434610184446,681.7181712535815,1433.458912394519,131.08102940261793,1097.8624316158273,20.0,543.0,4169.0,92.99112300602872,0.06536257861867086,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.196998153410224,5387.952348815124,0.0,1.4844152572989708,1160.5143944279264,-1160.0143944279264,pass_halo_only,1.0,0.0,1160.5143944279264,126.21705911987056,1198.3795121638875,33.5761162598665,1126.9382781680592,20.0,543.0,8038.0,8.714064739703772,0.22724168172669895,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.196998153410224,5387.952348815124,1000000.0,1.4844152572989708,1295.017650551496,-1294.517650551496,pass_bh_up,1.0,0.0,1295.017650551496,443.7503709195529,1428.142761827362,96.81430943638789,1198.2033411151078,20.0,543.0,2677.0,6.167876521442115,0.2693871987074181,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.196998153410224,5387.952348815124,254776.5177632335,1.4844152572989708,1222.5115094781563,-1222.0115094781563,pass_bh_down,1.0,0.0,1222.5115094781563,131.15046081876838,1261.8566477237869,34.47216053426472,1188.0393489438911,20.0,543.0,6876.0,10.039540410116187,0.16089288335609678,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
6.0,5387.952348815124,509553.035526467,1.4844152572989708,1186.5842060979455,-1186.0842060979455,pass_halo_up,1.0,0.0,1186.5842060979455,96.6501801379146,1215.57926013932,40.1714341894108,1146.4127719085345,20.0,543.0,2291.0,22.09279804956834,0.08181166263184544,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.598499076705112,5387.952348815124,509553.035526467,1.4844152572989708,1208.9504446680078,-1208.4504446680078,pass_halo_down,1.0,0.0,1208.9504446680078,270.4581481410041,1290.0878891103089,35.53086035342436,1173.4195843145833,20.0,543.0,4750.0,143.74613532651605,0.03966170613188227,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.196998153410224,5387.952348815124,509553.035526467,2.0,1185.3719939109167,-1184.8719939109167,pass_ml_up,1.0,0.0,1185.3719939109167,60.928557974507726,1203.650561303269,38.84642946463128,1146.5255644462857,20.0,543.0,3071.0,22.198023935319036,0.12214211187660802,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.196998153410224,5387.952348815124,509553.035526467,0.7422076286494854,1210.2615821777624,-1209.7615821777624,pass_ml_down,1.0,0.0,1210.2615821777624,225.70196262228677,1277.9721709644484,31.24163781681069,1179.0199443609517,20.0,543.0,3055.0,170.00817193490562,0.037248832781123696,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.541993735971863,7551.6667278339,883879.1836895436,0.478818348559932,1226.441409141514,-1225.941409141514,pass_full,2.0,0.0,1226.441409141514,183.530869075329,1281.5006698641128,38.543900950678115,1187.8975081908368,20.0,543.0,3207.0,29.70604284014263,0.14457391218693597,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.541993735971863,7551.6667278339,0.0,0.478818348559932,1215.4783110954857,-1214.9783110954857,pass_halo_only,2.0,0.0,1215.4783110954857,149.22554072222033,1260.2459733121518,40.86811569587753,1174.6101953996085,20.0,543.0,2198.0,36.95645412393018,0.10088286232667824,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.541993735971863,7551.6667278339,1000000.0,0.478818348559932,1217.059700007751,-1216.559700007751,pass_bh_up,2.0,0.0,1217.059700007751,232.11906011157222,1286.6954180412226,38.88498422391919,1178.1747157838322,20.0,543.0,2167.0,135.80162108234046,0.0404019010144156,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.541993735971863,7551.6667278339,441939.5918447718,0.478818348559932,1203.355815401638,-1202.855815401638,pass_bh_down,2.0,0.0,1203.355815401638,113.76779234654097,1237.4861531056004,38.91631828188116,1164.4394971197573,20.0,543.0,2590.0,50.478764616185074,0.090301315286757,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.083987471943726,7551.6667278339,883879.1836895436,0.478818348559932,1231.2391508339645,-1230.7391508339645,pass_halo_up,2.0,0.0,1231.2391508339645,220.7158264935543,1297.4538987820308,40.69864408095057,1190.5405067530146,20.0,543.0,2529.0,166.78239341376425,0.046057111991818674,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
0.7709968679859315,7551.6667278339,883879.1836895436,0.478818348559932,1202.3773113279822,-1201.8773113279822,pass_halo_down,2.0,0.0,1202.3773113279822,309.70814673684436,1295.2897553490354,50.35428481337634,1152.023026514606,20.0,543.0,5099.0,283.8841014525939,0.03629700259582634,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.541993735971863,7551.6667278339,883879.1836895436,0.957636697119864,1240.0713474271884,-1239.5713474271884,pass_ml_up,2.0,0.0,1240.0713474271884,201.2812453451514,1300.4557210307337,36.08779257878064,1203.9835548484077,20.0,543.0,2729.0,10.61464015821581,0.2553397575317948,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.541993735971863,7551.6667278339,883879.1836895436,0.239409174279966,1212.5675097894489,-1212.0675097894489,pass_ml_down,2.0,0.0,1212.5675097894489,323.3100664810009,1309.560529733749,36.71535739633918,1175.8521523931095,20.0,543.0,2431.0,336.9586988346871,0.03225234591895069,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.023278633388094,6470.107070039729,723627.1691770673,1.5477053601202484,1206.846281555531,-1206.346281555531,pass_full,3.0,0.0,1206.846281555531,93.7242826037928,1234.963566336669,34.35750571104905,1172.488775844482,20.0,543.0,3914.0,40.933833565044715,0.08288014693508304,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.023278633388094,6470.107070039729,0.0,1.5477053601202484,1223.6349631865357,-1223.1349631865357,pass_halo_only,3.0,0.0,1223.6349631865357,308.09499629807306,1316.0634620759577,31.490049412067886,1192.1449137744678,20.0,543.0,5199.0,192.69063113623798,0.052709863569687265,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.023278633388094,6470.107070039729,1000000.0,1.5477053601202484,1214.2058116059577,-1213.7058116059577,pass_bh_up,3.0,0.0,1214.2058116059577,82.59422286329468,1238.9840784649462,39.172226635289654,1175.0335849706685,20.0,543.0,3460.0,19.421593638356317,0.13119966379285064,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.023278633388094,6470.107070039729,361813.5845885337,1.5477053601202484,1228.5798132347518,-1228.0798132347518,pass_bh_down,3.0,0.0,1228.5798132347518,129.67093509078046,1267.481093761986,38.7689342410838,1189.8108789936682,20.0,543.0,2212.0,57.62626706292137,0.0776163560636282,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
6.0,6470.107070039729,723627.1691770673,1.5477053601202484,1236.0603455593796,-1235.5603455593796,pass_halo_up,3.0,0.0,1236.0603455593796,249.63933059693534,1310.9521447384602,37.650993992080394,1198.409351567299,20.0,543.0,2911.0,143.45705222626293,0.0608158590722828,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
2.011639316694047,6470.107070039729,723627.1691770673,1.5477053601202484,1209.5670028062223,-1209.0670028062223,pass_halo_down,3.0,0.0,1209.5670028062223,132.7295853363034,1249.3858784071133,37.31878163355564,1172.2482211726665,20.0,543.0,3646.0,15.737788513649695,0.234660216124281,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.023278633388094,6470.107070039729,723627.1691770673,2.0,1209.243531870692,-1208.743531870692,pass_ml_up,3.0,0.0,1209.243531870692,193.6632605963822,1267.3425100496067,31.55814160799068,1177.685390262701,20.0,543.0,2485.0,58.410636785345496,0.10850829031590574,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.023278633388094,6470.107070039729,723627.1691770673,0.7738526800601242,1223.3737896813616,-1222.8737896813616,pass_ml_down,3.0,0.0,1223.3737896813616,123.87597791398623,1260.5365830555575,38.695939288357906,1184.6778503930036,20.0,543.0,2695.0,60.121374825866994,0.07301158536350537,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.911284371538823,1069.294376396348,3553.9072081155477,0.6154573078663732,1179.9329743154576,-1179.4329743154576,pass_full,4.0,0.0,1179.9329743154576,275.4387059918012,1262.5645861129979,29.820117074143877,1150.1128572413138,20.0,543.0,4844.0,142.83676410463207,0.05379135325488051,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.911284371538823,1069.294376396348,0.0,0.6154573078663732,1180.3862742638441,-1179.8862742638441,pass_halo_only,4.0,0.0,1180.3862742638441,204.61882644797333,1241.771922198236,34.0907853621793,1146.2954889016648,20.0,543.0,2275.0,82.90997556278575,0.06895955168762537,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
4.911284371538823,1069.294376396348,7107.8144162310955,0.6154573078663732,1182.4817472133313,-1181.9817472133313,pass_bh_up,4.0,0.0,1182.4817472133313,161.70954032182698,1230.9946093098795,35.092349270298655,1147.3893979430325,20.0,543.0,2178.0,67.07488227191335,0.06361171630753341,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
